index,x,y,snippet,href
871,1924.117,16.011,e',textedit:///work/_1/m051_058.ly:41:15:16
872,1926.621,16.511,d',textedit:///work/_1/m051_058.ly:41:18:19
873,1928.875,18.511,gis,textedit:///work/_1/m051_058.ly:41:23:24
874,1931.63,16.511,d',textedit:///work/_1/m051_058.ly:41:30:31
875,1933.884,19.011,fis,textedit:///work/_1/m051_058.ly:41:33:34
876,1936.638,16.511,d',textedit:///work/_1/m051_058.ly:41:37:38
877,1938.892,18.511,gis,textedit:///work/_1/m051_058.ly:41:42:43
878,1941.646,16.511,d',textedit:///work/_1/m051_058.ly:41:49:50
879,1943.9,19.511,e,textedit:///work/_1/m051_058.ly:41:52:53
880,1946.655,16.511,d',textedit:///work/_1/m051_058.ly:41:55:56
881,1950.307,32.15,"a,",textedit:///work/_2/m059_066.ly:45:2:3
882,1950.307,17.011,cis',textedit:///work/_2/m059_066.ly:9:6:7
883,1953.299,16.011,e',textedit:///work/_2/m059_066.ly:10:19:20
884,1956.053,14.511,a',textedit:///work/_2/m059_066.ly:10:31:32
885,1959.455,15.011,gis',textedit:///work/_2/m059_066.ly:10:44:45
886,1961.959,14.511,a',textedit:///work/_2/m059_066.ly:19:59:60
887,1964.359,16.011,e',textedit:///work/_2/m059_066.ly:10:70:71
888,1968.907,16.511,d',textedit:///work/_2/m059_066.ly:19:81:82
889,1971.455,16.011,e',textedit:///work/_2/m059_066.ly:11:92:93
890,1974.378,17.011,cis',textedit:///work/_2/m059_066.ly:19:100:101
891,1977.37,16.011,e',textedit:///work/_2/m059_066.ly:11:110:111
892,1979.17,17.511,b,textedit:///work/_2/m059_066.ly:19:117:118
893,1980.97,16.011,e',textedit:///work/_2/m059_066.ly:11:129:130
894,1985.059,18.011,a,textedit:///work/_2/m059_066.ly:20:6:7
895,1987.459,14.511,a',textedit:///work/_2/m059_066.ly:12:19:20
896,1990.007,28.65,a,textedit:///work/_2/m059_066.ly:46:15:16
897,1990.007,15.011,gis',textedit:///work/_2/m059_066.ly:12:31:32
898,1993.409,28.15,b,textedit:///work/_2/m059_066.ly:46:19:20
899,1993.409,15.511,fis',textedit:///work/_2/m059_066.ly:12:44:45
900,1995.913,27.65,cis',textedit:///work/_2/m059_066.ly:46:21:22
901,1995.913,16.011,e',textedit:///work/_2/m059_066.ly:12:59:60
902,1998.313,18.011,a,textedit:///work/_2/m059_066.ly:20:69:70
903,2000.113,27.15,d',textedit:///work/_2/m059_066.ly:46:27:28
904,2000.113,15.511,fis',textedit:///work/_2/m059_066.ly:12:81:82
905,2001.913,18.011,a,textedit:///work/_2/m059_066.ly:20:92:93
906,2003.713,27.65,cis',textedit:///work/_2/m059_066.ly:46:30:31
